trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-58.80010105691381,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-65.12336814795302,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-133.9423532417666,"{0: 8, 1: 3, 2: 5, 3: 4, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,11,-75.58379086593077,"{0: 4, 1: 2, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-113.35515476424109,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-50.25774119770233,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-92.36239844849912,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-63.68361112672368,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-44.06652803538444,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-162.49644739334028,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-112.41610490086248,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-100.48282053445448,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-24.054870487319395,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-3.254488110021586,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-26.377689592480575,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-14.201083477073553,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-4.044734689202288,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-92.6072997371812,"{0: 19, 1: 0, 2: 1, 3: 5, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-28.330485615833567,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-28.463200945853522,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-16.63015213163048,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-49.113967837116995,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,20.283791764789992,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,5.843673316884464,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-38.61081661845706,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,18.854267329338835,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-22.232680146120195,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-25.39848062943671,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,19.1724083649608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,3.4966788658803587,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
