trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.05689322140293,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.92749067587448,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.77129901454586,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.70167475232519,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.763345471565078,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.2655553335418,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.86357918861086,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.10628441883395,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.11431933546568,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.67036895157696,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.26792619413557,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,1,-81.3500474307856,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.6790928049534,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.80570592400895,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-207.15919066811767,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.20977002080282,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.79799066306634,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.19953787993948,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.1802250884613,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,20,-59.81014697163401,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.92278735977808,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.59284462413248,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.46026893588379,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.33139132688274,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.39629136884255,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.09234652657463,"{0: 18, 1: 7, 2: 0, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,8,-109.41538121781018,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,1,-163.66373525105087,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 3}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,6,-84.06993696883062,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.83596396357584,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
