trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.999}",25,8,-84.28939588746346,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.8, 'e': 0.998}",30,0,-102.81536448188803,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.997}",30,0,-108.82037907544321,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.996}",25,4,-57.909807049229116,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.995}",30,3,-146.29067045168773,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 2}",1
6,False,"{'a': 0.8, 'e': 0.994}",25,0,-102.99956006748488,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.993}",30,0,-60.618899320539256,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.992}",25,0,-20.875546685811052,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.991}",20,0,-83.15634851588963,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.99}",20,4,-59.9142304191716,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.989}",25,0,-152.95686507340764,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.988}",20,0,-140.22593380435228,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.8, 'e': 0.987}",20,0,-57.346545490579985,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.986}",30,0,-115.56060287226936,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.985}",25,0,-138.42859801192918,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.984}",30,8,-19.625198883447116,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.983}",20,0,-130.33716873957616,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.982}",20,0,-162.3358422871096,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.8, 'e': 0.981}",25,0,-193.97592310205584,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.8, 'e': 0.98}",25,0,-189.41173745974075,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.979}",30,9,-92.5495473831722,"{0: 8, 1: 7, 2: 5, 3: 1, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.978}",25,0,-189.09759516440351,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
23,False,"{'a': 0.8, 'e': 0.977}",35,0,-161.28404162733227,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
24,False,"{'a': 0.8, 'e': 0.976}",20,0,-44.228608886953154,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.975}",25,0,-86.17967694939628,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.8, 'e': 0.974}",25,0,-156.87199063956436,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.8, 'e': 0.973}",20,0,-117.30688747662896,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.972}",30,0,-213.32413148651824,"{0: 15, 1: 1, 2: 9, 3: 3, 4: 2}",0
29,False,"{'a': 0.8, 'e': 0.971}",25,0,-23.423064773708706,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.97}",20,0,-59.547382430703166,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.969}",20,8,-53.62778548818,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.8, 'e': 0.968}",25,0,-170.4943010031473,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.967}",20,0,-59.52040810439826,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.8, 'e': 0.966}",30,17,-25.65447633896549,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.965}",20,0,-78.6340678826109,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.8, 'e': 0.964}",20,0,-190.85478263441263,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
37,False,"{'a': 0.8, 'e': 0.963}",25,10,-63.468632624762634,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.8, 'e': 0.962}",30,0,-222.9039943835343,"{0: 13, 1: 8, 2: 4, 3: 2, 4: 3}",0
39,False,"{'a': 0.8, 'e': 0.961}",30,0,-38.605908743940745,"{0: 22, 1: 6, 2: 1, 3: 1, 4: 0}",0
40,False,"{'a': 0.8, 'e': 0.96}",25,0,-154.27189074309686,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
41,False,"{'a': 0.8, 'e': 0.959}",20,0,-44.6183700327511,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.8, 'e': 0.958}",30,0,-72.3725770350089,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
43,False,"{'a': 0.8, 'e': 0.957}",25,0,-130.341884535999,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.8, 'e': 0.956}",25,0,-104.96703779904266,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.8, 'e': 0.955}",20,0,-133.35062872666734,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
46,False,"{'a': 0.8, 'e': 0.954}",20,0,-193.06007237723648,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
47,False,"{'a': 0.8, 'e': 0.953}",30,15,-103.13323331796214,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 2}",1
48,False,"{'a': 0.8, 'e': 0.952}",25,0,-183.04105133300433,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
49,False,"{'a': 0.8, 'e': 0.951}",25,0,-132.4877125912124,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.8, 'e': 0.95}",25,0,-87.41004323814171,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.949}",20,0,-73.62897391248202,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.8, 'e': 0.948}",20,0,-108.42983413260339,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
53,False,"{'a': 0.8, 'e': 0.947}",25,0,-115.28792491816895,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
54,False,"{'a': 0.8, 'e': 0.946}",20,0,-154.67204359555336,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
55,False,"{'a': 0.8, 'e': 0.945}",20,0,-151.72011260657155,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
56,False,"{'a': 0.8, 'e': 0.944}",30,0,-145.06346850229667,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
57,False,"{'a': 0.8, 'e': 0.943}",30,17,-24.213331791199927,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.942}",20,4,-156.76798695701788,"{0: 6, 1: 2, 2: 4, 3: 2, 4: 2}",1
59,False,"{'a': 0.8, 'e': 0.941}",20,0,-108.70414761538592,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
60,False,"{'a': 0.8, 'e': 0.94}",25,0,-120.22063697204496,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.8, 'e': 0.939}",20,0,-116.01953664870223,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.8, 'e': 0.938}",30,5,-107.8222771235246,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",1
63,False,"{'a': 0.8, 'e': 0.9369999999999999}",30,2,-113.54462967740211,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 2}",1
64,False,"{'a': 0.8, 'e': 0.9359999999999999}",25,0,-109.92060985963379,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
65,False,"{'a': 0.8, 'e': 0.9349999999999999}",20,0,-80.71318163359308,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.8, 'e': 0.9339999999999999}",30,0,-157.9348951062188,"{0: 17, 1: 6, 2: 3, 3: 2, 4: 2}",0
67,False,"{'a': 0.8, 'e': 0.9329999999999999}",20,15,0.38628909092484154,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.9319999999999999}",20,0,-79.17839862865547,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
69,False,"{'a': 0.8, 'e': 0.9309999999999999}",30,0,-212.37369903104337,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
70,False,"{'a': 0.8, 'e': 0.9299999999999999}",25,11,-21.59251222588878,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.9289999999999999}",25,0,-175.93462077927043,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
72,False,"{'a': 0.8, 'e': 0.9279999999999999}",20,15,-15.393584036381048,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.9269999999999999}",20,0,-147.514620152774,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
74,False,"{'a': 0.8, 'e': 0.9259999999999999}",30,0,-151.34955449428904,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
75,False,"{'a': 0.8, 'e': 0.9249999999999999}",20,0,-55.14447569191742,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
76,False,"{'a': 0.8, 'e': 0.9239999999999999}",30,0,-151.76046917673153,"{0: 19, 1: 2, 2: 4, 3: 4, 4: 1}",0
77,False,"{'a': 0.8, 'e': 0.9229999999999999}",25,0,-113.80815610190021,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.9219999999999999}",30,0,-151.62548449545966,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
